Cites,Authors,Document Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
37,"G. Sun","Multi-fidelity optimization for sheet metal forming process",2011,"Structural and Multidisciplinary Optimization","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79958110874&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79958110874&origin=inward",5,"2020-01-23 14:24:36","Article","10.1007/s00158-010-0596-5","1615-147X","https://api.elsevier.com/content/abstract/scopus_id/79958110874",44,1,111,124,37,4.11,37,1,9,""
12,"M. Abebe","Reliability-based robust process optimization of multi-point dieless forming for product defect reduction",2017,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84979593645&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84979593645&origin=inward",23,"2020-01-23 14:24:36","Article","10.1007/s00170-016-9172-5","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/84979593645",89,1,1223,1234,12,4.00,12,1,3,""
15,"C. Raju","Application of a hybrid optimization technique in a multiple sheet single point incremental forming process",2016,"Measurement: Journal of the International Measurement Confederation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84946423101&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84946423101&origin=inward",16,"2020-01-23 14:24:36","Article","10.1016/j.measurement.2015.10.025","0263-2241","https://api.elsevier.com/content/abstract/scopus_id/84946423101",78,,296,308,15,3.75,15,1,4,""
22,"V. Mugendiran","Parameter optimization for surface roughness and wall thickness on AA5052 Aluminium alloy by incremental forming using response surface methodology",2014,"Procedia Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84922325793&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84922325793&origin=inward",9,"2020-01-23 14:24:36","Conference Paper","10.1016/j.proeng.2014.12.442","1877-7058","https://api.elsevier.com/content/abstract/scopus_id/84922325793",97,,1991,2000,22,3.67,22,1,6,""
28,"G. Hussain","Improving profile accuracy in SPIF process through statistical optimization of forming parameters",2011,"Journal of Mechanical Science and Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79952542754&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79952542754&origin=inward",8,"2020-01-23 14:24:36","Article","10.1007/s12206-010-1018-8","1738-494X","https://api.elsevier.com/content/abstract/scopus_id/79952542754",25,1,177,182,28,3.11,28,1,9,""
12,"H. Shinde","Process modeling and optimization of the staggered backward flow forming process of maraging steel via finite element simulations",2016,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84960361462&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84960361462&origin=inward",24,"2020-01-23 14:24:36","Article","10.1007/s00170-016-8559-7","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/84960361462",87,5,1851,1864,12,3.00,12,1,4,""
12,"F. Zhu","Multi-objective optimization method of precision forging process parameters to control the forming quality",2016,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84939438492&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84939438492&origin=inward",25,"2020-01-23 14:24:36","Article","10.1007/s00170-015-7682-1","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/84939438492",83,9,1763,1771,12,3.00,12,1,4,""
11,"M. Khamneh","Optimization of spring-back in creep age forming process of 7075 Al-Alclad alloy using D-optimal design of experiment method",2016,"Measurement: Journal of the International Measurement Confederation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962910725&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962910725&origin=inward",27,"2020-01-23 14:24:36","Article","10.1016/j.measurement.2016.03.003","0263-2241","https://api.elsevier.com/content/abstract/scopus_id/84962910725",88,,278,286,11,2.75,11,1,4,""
21,"H. Ou","Finite element modelling and optimisation of net-shape metal forming processes with uncertainties",2012,"Computers and Structures","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=81855201867&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=81855201867&origin=inward",11,"2020-01-23 14:24:36","Article","10.1016/j.compstruc.2011.10.014","0045-7949","https://api.elsevier.com/content/abstract/scopus_id/81855201867",90,1,13,27,21,2.63,21,1,8,""
18,"R. Bahloul","Application of response surface analysis and genetic algorithm for the optimization of single point incremental forming process",2013,"Key Engineering Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84880549032&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880549032&origin=inward",15,"2020-01-23 14:24:36","Conference Paper","10.4028/www.scientific.net/KEM.554-557.1265","1013-9826","https://api.elsevier.com/content/abstract/scopus_id/84880549032",554,,1265,1272,18,2.57,18,1,7,""
15,"K. Regulski","Data exploration approach versus sensitivity analysis for optimization of metal forming processes",2014,"Key Engineering Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84902603026&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84902603026&origin=inward",17,"2020-01-23 14:24:36","Conference Paper","10.4028/www.scientific.net/KEM.611-612.1390","1013-9826","https://api.elsevier.com/content/abstract/scopus_id/84902603026",611,,1390,1395,15,2.50,15,1,6,""
5,"V. Kashuba","Optimization of the processes of adaptation to the conditions of study at school as a component of health forming activities of primary school-age children",2018,"Journal of Physical Education and Sport","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060039818&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060039818&origin=inward",49,"2020-01-23 14:24:36","Article","10.7752/jpes.2018.04377","2247-8051","https://api.elsevier.com/content/abstract/scopus_id/85060039818",18,4,2515,2521,5,2.50,5,1,2,""
5,"Y. Huang","Robust model for optimization of forming process for metallic bipolar plates of cleaner energy production system",2018,"International Journal of Hydrogen Energy","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85035223473&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85035223473&origin=inward",50,"2020-01-23 14:24:36","Article","10.1016/j.ijhydene.2017.11.043","0360-3199","https://api.elsevier.com/content/abstract/scopus_id/85035223473",43,1,341,353,5,2.50,5,1,2,""
5,"M. Sbayti","Optimization techniques applied to single point incremental forming process for biomedical application",2018,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85034105283&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85034105283&origin=inward",51,"2020-01-23 14:24:36","Article","10.1007/s00170-017-1305-y","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/85034105283",95,5,1789,1804,5,2.50,5,1,2,""
14,"J. Lee","Optimization of the structural and process parameters in the sheet metal forming process",2014,"Journal of Mechanical Science and Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84905035898&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84905035898&origin=inward",20,"2020-01-23 14:24:36","Article","10.1007/s12206-013-1125-4","1738-494X","https://api.elsevier.com/content/abstract/scopus_id/84905035898",28,2,605,619,14,2.33,14,1,6,""
9,"H. Bong","Application of central composite design for optimization of two-stage forming process using ultra-thin ferritic stainless steel",2016,"Metals and Materials International","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84961112281&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84961112281&origin=inward",33,"2020-01-23 14:24:36","Article","10.1007/s12540-015-4325-x","1598-9623","https://api.elsevier.com/content/abstract/scopus_id/84961112281",22,2,276,287,9,2.25,9,1,4,""
9,"Q. Zhang","A new optimization method for sheet metal forming processes based on an iterative learning control model",2016,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84945544897&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84945544897&origin=inward",34,"2020-01-23 14:24:36","Article","10.1007/s00170-015-7975-4","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/84945544897",85,5,1063,1075,9,2.25,9,1,4,""
20,"R. De-Carvalho","Optimization strategies for non-linear material parameters identification in metal forming problems",2011,"Computers and Structures","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78449247439&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78449247439&origin=inward",12,"2020-01-23 14:24:36","Article","10.1016/j.compstruc.2010.10.002","0045-7949","https://api.elsevier.com/content/abstract/scopus_id/78449247439",89,1,246,255,20,2.22,20,1,9,""
6,"S. Chiu","Multi-objective optimization of process parameters in an area-forming rapid prototyping system using the Taguchi method and a grey relational analysis",2017,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029771482&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029771482&origin=inward",41,"2020-01-23 14:24:36","Article","10.1177/0954405415623479","0954-4054","https://api.elsevier.com/content/abstract/scopus_id/85029771482",231,12,2211,2222,6,2.00,6,1,3,""
4,"T. Yu","Process parameters optimization and mechanical properties of forming parts by direct laser fabrication of YCF101 alloy",2018,"Journal of Materials Processing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048888681&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048888681&origin=inward",60,"2020-01-23 14:24:36","Article","10.1016/j.jmatprotec.2018.06.023","0924-0136","https://api.elsevier.com/content/abstract/scopus_id/85048888681",262,,75,84,4,2.00,4,1,2,""
2,"S. Tang","3D printing of highly-loaded slurries via layered extrusion forming: Parameters optimization and control",2019,"Additive Manufacturing","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85066734601&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066734601&origin=inward",80,"2020-01-23 14:24:36","Article","10.1016/j.addma.2019.05.034","2214-8604","https://api.elsevier.com/content/abstract/scopus_id/85066734601",28,,546,553,2,2.00,2,1,1,""
2,"A. Gheysarian","Process Parameters Optimization of the Explosive-Welded Al/Cu Bimetal in the Incremental Sheet Metal Forming Process",2019,"Iranian Journal of Science and Technology - Transactions of Mechanical Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059648781&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059648781&origin=inward",81,"2020-01-23 14:24:36","Article","10.1007/s40997-018-0205-6","2228-6187","https://api.elsevier.com/content/abstract/scopus_id/85059648781",43,,945,956,2,2.00,2,1,1,""
13,"N. Aziz","Optimization of quenching process in hot press forming of 22MnB5 steel for high strength properties for publication in",2013,"IOP Conference Series: Materials Science and Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84893595041&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84893595041&origin=inward",21,"2020-01-23 14:24:36","Conference Paper","10.1088/1757-899X/50/1/012064","1757-8981","https://api.elsevier.com/content/abstract/scopus_id/84893595041",50,1,,,13,1.86,13,1,7,""
13,"M. Ostad Shabani","Fabrication of AMCs by spray forming: Setting of cognition and social parameters to accelerate the convergence in optimization of spray forming process",2013,"Ceramics International","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875706733&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875706733&origin=inward",22,"2020-01-23 14:24:36","Article","10.1016/j.ceramint.2012.12.028","0272-8842","https://api.elsevier.com/content/abstract/scopus_id/84875706733",39,5,5271,5279,13,1.86,13,1,7,""
15,"Y. Li","Feasibility and optimization study of using cold-forming extrusion process for agglomerating and microencapsulating ferrous fumarate for salt double fortification with iodine and iron",2011,"Journal of Microencapsulation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80053426980&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80053426980&origin=inward",18,"2020-01-23 14:24:36","Article","10.3109/02652048.2011.604434","0265-2048","https://api.elsevier.com/content/abstract/scopus_id/80053426980",28,7,639,649,15,1.67,15,1,9,""
10,"L. Luoa","Optimisation of size-controllable centroidal voronoi tessellation for FEM simulation of micro forming processes",2014,"Procedia Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84949115061&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84949115061&origin=inward",30,"2020-01-23 14:24:36","Conference Paper","10.1016/j.proeng.2014.10.342","1877-7058","https://api.elsevier.com/content/abstract/scopus_id/84949115061",81,,2409,2414,10,1.67,10,1,6,""
10,"J. Wiebenga","On the effect of numerical noise in approximate optimization of forming processes using numerical simulations",2014,"International Journal of Material Forming","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84903138830&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84903138830&origin=inward",31,"2020-01-23 14:24:36","Article","10.1007/s12289-013-1130-2","1960-6206","https://api.elsevier.com/content/abstract/scopus_id/84903138830",7,3,317,335,10,1.67,10,1,6,""
5,"Z. Yao","Parameter optimization for deformation energy and forming quality in single point incremental forming process using response surface methodology",2017,"Advances in Mechanical Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85026486762&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85026486762&origin=inward",52,"2020-01-23 14:24:36","Article","10.1177/1687814017710118","1687-8132","https://api.elsevier.com/content/abstract/scopus_id/85026486762",9,7,,,5,1.67,5,1,3,""
5,"Q. Zhang","A new method for automatic optimization of drawbead geometry in the sheet metal forming process based on an iterative learning control model",2017,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84970021953&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84970021953&origin=inward",53,"2020-01-23 14:24:36","Article","10.1007/s00170-016-8872-1","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/84970021953",88,5,1845,1861,5,1.67,5,1,3,""
8,"W. Ren","Process optimization and forming repair of laser remanufacture for FV520 (B) steel blade simulator",2015,"Cailiao Gongcheng/Journal of Materials Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84922382357&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84922382357&origin=inward",36,"2020-01-23 14:24:36","Article","10.11868/j.issn.1001-4381.2015.01.002","1001-4381","https://api.elsevier.com/content/abstract/scopus_id/84922382357",43,1,6,12,8,1.60,8,1,5,""
11,"J. Liu","Process optimization and microstructural development during superplastic-like forming of AA5083",2013,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84892366522&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84892366522&origin=inward",28,"2020-01-23 14:24:36","Article","10.1007/s00170-013-5208-2","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/84892366522",69,9,2415,2422,11,1.57,11,1,7,""
11,"J. Paralikas","Robust optimization of the energy efficiency of the cold roll forming process",2013,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887825395&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887825395&origin=inward",29,"2020-01-23 14:24:36","Article","10.1007/s00170-013-5011-0","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/84887825395",69,1,461,481,11,1.57,11,1,7,""
3,"H. Mostafanezhad","Optimization of two-point incremental forming process of AA1050 through response surface methodology",2018,"Measurement: Journal of the International Measurement Confederation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047614906&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85047614906&origin=inward",65,"2020-01-23 14:24:36","Article","10.1016/j.measurement.2018.04.042","0263-2241","https://api.elsevier.com/content/abstract/scopus_id/85047614906",127,,21,28,3,1.50,3,1,2,""
3,"H. Wang","Time dependent sheet metal forming optimization by using Gaussian process assisted firefly algorithm",2018,"International Journal of Material Forming","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85017427926&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85017427926&origin=inward",67,"2020-01-23 14:24:36","Article","10.1007/s12289-017-1352-9","1960-6206","https://api.elsevier.com/content/abstract/scopus_id/85017427926",11,2,279,295,3,1.50,3,1,2,""
10,"J. Liang","Multi-objective optimization of flexible three-dimensional stretch-bending forming process of rectangular hollow aluminum profiles",2013,"Huanan Ligong Daxue Xuebao/Journal of South China University of Technology (Natural Science)","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84889248540&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84889248540&origin=inward",32,"2020-01-23 14:24:36","Article","10.3969/j.issn.1000-565X.2013.09.024","1000-565X","https://api.elsevier.com/content/abstract/scopus_id/84889248540",41,9,143,148,10,1.43,10,1,7,""
12,"J. Lee","Shape optimization of the initial blank in the sheet metal forming process using equivalent static loads",2011,"International Journal for Numerical Methods in Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650536683&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650536683&origin=inward",26,"2020-01-23 14:24:36","Article","10.1002/nme.2969","0029-5981","https://api.elsevier.com/content/abstract/scopus_id/78650536683",85,2,247,268,12,1.33,12,1,9,""
8,"S. Elsen","Optimization of process parameters of zirconia reinforced alumina by powder forming process using response surface method",2014,"Advanced Materials Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84905643721&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84905643721&origin=inward",37,"2020-01-23 14:24:36","Conference Paper","10.4028/www.scientific.net/AMR.984-985.129","1022-6680","https://api.elsevier.com/content/abstract/scopus_id/84905643721",984,,129,139,8,1.33,8,1,6,""
8,"X. Li","Forming process optimization for non-axisymmetrical complex component based on FEM simulation and experiment",2014,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84903279506&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84903279506&origin=inward",38,"2020-01-23 14:24:36","Article","10.1007/s00170-014-5790-y","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/84903279506",72,9,1717,1725,8,1.33,8,1,6,""
6,"A. Rudskoy","To the problem of the cylindrical product with a bottom forming process optimization under superplasticity condition",2015,"Materials Physics and Mechanics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84971602186&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84971602186&origin=inward",42,"2020-01-23 14:24:36","Article","","1605-2730","https://api.elsevier.com/content/abstract/scopus_id/84971602186",22,2,191,199,6,1.20,6,1,5,""
6,"F. Bäcker","Time-varying process control for stringer sheet forming by a deterministic derivative-free optimization approach",2015,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962754469&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962754469&origin=inward",43,"2020-01-23 14:24:36","Article","10.1007/s00170-015-7048-8","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/84962754469",80,,817,828,6,1.20,6,1,5,""
7,"G. Ma","Optimization of process parameters of stamping forming of the automotive lower floor board",2014,"Journal of Applied Mathematics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84907416877&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907416877&origin=inward",40,"2020-01-23 14:24:36","Article","10.1155/2014/470320","1110-757X","https://api.elsevier.com/content/abstract/scopus_id/84907416877",2014,,,,7,1.17,7,1,6,""
8,"H. Park","Optimization of roll forming process with evolutionary algorithm for green product",2013,"International Journal of Precision Engineering and Manufacturing","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84891106985&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891106985&origin=inward",39,"2020-01-23 14:24:36","Article","10.1007/s12541-013-0288-3","2234-7593","https://api.elsevier.com/content/abstract/scopus_id/84891106985",14,12,2127,2135,8,1.14,8,1,7,""
9,"A. Schmidt","Numerical prediction and sequential process optimization in sheet forming based on genetic algorithm",2011,"Materials and Manufacturing Processes","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84856715768&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84856715768&origin=inward",35,"2020-01-23 14:24:36","Article","10.1080/10426914.2010.536926","1042-6914","https://api.elsevier.com/content/abstract/scopus_id/84856715768",26,3,521,526,9,1.00,9,1,9,""
6,"B. Engel","Modelling and optimization of lightweight-sandwich-sheets with an adhesive interlayer for the forming process die bending",2014,"Procedia CIRP","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84906766811&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84906766811&origin=inward",44,"2020-01-23 14:24:36","Conference Paper","10.1016/j.procir.2014.06.126","2212-8271","https://api.elsevier.com/content/abstract/scopus_id/84906766811",18,,168,173,6,1.00,6,1,6,""
